Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (seconds) from scheduled to completion time,Duration (seconds) from first response to completion time,[3_CAL] Geboortedatum:,[4_SAQ] Geslacht:
27163,1acfd7211298aa09,2022-10-07 10:28:10 CEST,2022-10-07 10:28:10 CEST,2022-10-07 10:33:37 CEST,326.975,47,28/01/1992,2
30302,fcf7d059a89cff45,2022-10-27 14:19:36 CEST,2022-10-27 14:19:36 CEST,2022-10-27 14:20:46 CEST,69.719,33,07/08/1995,2
56068,45ed7c5ffd78d494,2022-10-27 21:10:21 CEST,2022-10-27 21:10:21 CEST,2022-10-27 21:16:32 CEST,370.882,41,07/08/1995,2
59528,c8cc4c8b850a668c,2022-08-24 13:58:40 CEST,2022-08-24 13:58:40 CEST,2022-08-24 14:09:07 CEST,626.983,75,15/12/1986,1
59662,1E1E9C074B4344EEAB49133E29175CF7,2022-08-31 11:18:46 CEST,2022-08-31 11:18:46 CEST,2022-08-31 11:22:52 CEST,246.377,53,22/10/1988,2
59753,0652F029715A4164B290EBFC0BD12F9F,2022-09-02 15:06:04 CEST,2022-09-02 15:06:04 CEST,2022-09-02 15:09:52 CEST,228.149,48,22/10/1988,2
59989,f2837495d7a580d3,2022-09-13 14:34:44 CEST,2022-09-13 14:34:44 CEST,2022-09-13 14:36:52 CEST,127.185,41,10/09/1988,3
60030,364576eec2a2b8aa,2022-09-14 15:29:49 CEST,2022-09-14 15:29:49 CEST,2022-09-14 15:34:55 CEST,305.787,52,10/05/1989,2
60032,155f2266ce8dd27c,2022-09-14 16:13:04 CEST,2022-09-14 16:13:04 CEST,2022-09-14 16:15:52 CEST,168.013,55,11/09/1989,1
60038,01486bf740bf3f69,2022-09-14 19:29:09 CEST,2022-09-14 19:29:09 CEST,2022-09-14 19:31:12 CEST,122.405,63,02/05/1989,2
60039,2B8AFE0663054A268716E022AD1583A4,2022-09-14 19:31:16 CEST,2022-09-14 19:31:16 CEST,2022-09-14 19:33:21 CEST,125.152,57,10/09/1988,2
60043,92bec684f8912bfc,2022-09-14 21:21:19 CEST,2022-09-14 21:21:19 CEST,2022-09-14 21:23:51 CEST,152.914,88,02/05/1989,2
60055,E6B41A43EC0F43A59DB250FEA25FA83C,2022-09-15 09:42:46 CEST,2022-09-15 09:42:46 CEST,2022-09-15 09:48:29 CEST,343.459,93,10/08/1989,2
60093,6bf4e63c8027bee2,2022-09-16 11:19:34 CEST,2022-09-16 11:19:34 CEST,2022-09-16 11:25:54 CEST,380.061,54,28/10/1989,2
60099,55A79FE0A1884AA196F17C3BEC32555D,2022-09-16 15:40:47 CEST,2022-09-16 15:40:47 CEST,2022-09-16 15:42:55 CEST,128.459,80,01/12/1988,2
60121,3C05DAB5348E40969AF5EB3739AC39E7,2022-09-19 14:14:34 CEST,2022-09-19 14:14:34 CEST,2022-09-19 14:15:51 CEST,77.017,49,01/07/1992,2
60122,642e89016a779cc9,2022-09-19 14:27:50 CEST,2022-09-19 14:27:50 CEST,2022-09-19 14:30:40 CEST,169.507,59,01/05/1987,2
60123,147B4CF415ED4884961EBE0B69728FEB,2022-09-19 14:28:43 CEST,2022-09-19 14:28:43 CEST,2022-09-19 14:30:56 CEST,132.6,44,06/05/1991,2
60124,c09c83defc5036cc,2022-09-19 14:35:54 CEST,2022-09-19 14:35:54 CEST,2022-09-19 14:53:09 CEST,1035.464,59,01/10/1983,2
60153,86eee20b563d2807,2022-09-20 09:26:55 CEST,2022-09-20 09:26:55 CEST,2022-09-20 09:31:41 CEST,286.502,58,07/03/1984,1
60194,9670e17c4e6a8a8d,2022-09-20 10:59:02 CEST,2022-09-20 10:59:02 CEST,2022-09-20 11:00:39 CEST,97.309,54,03/10/1990,2
60196,67A439FB4EC345C188FED73FD29E0C73,2022-09-20 11:01:38 CEST,2022-09-20 11:01:38 CEST,2022-09-20 11:39:20 CEST,2261.854,57,12/11/1989,2
60207,9a297af5cea235d4,2022-09-20 16:09:40 CEST,2022-09-20 16:09:40 CEST,2022-09-20 16:13:23 CEST,223.037,59,18/09/1987,2
60235,08acfa3971baf372,2022-09-21 19:44:30 CEST,2022-09-21 19:44:30 CEST,2022-09-21 19:58:28 CEST,838.103,87,20/09/1989,2
60247,6b4e13981579bad1,2022-09-22 10:00:23 CEST,2022-09-22 10:00:23 CEST,2022-09-22 10:09:53 CEST,570.804,58,11/09/1989,1
60262,A24FD79C2EDC4D5481D861E1C1D283EA,2022-09-22 15:04:38 CEST,2022-09-22 15:04:38 CEST,2022-09-22 15:10:10 CEST,332.006,49,27/02/1990,2
60284,530c6dcd04cc41b1,2022-09-23 09:10:55 CEST,2022-09-23 09:10:55 CEST,2022-09-23 17:12:36 CEST,28901.944,226,03/11/1993,1
60286,2B4C94C314174B93AF66B8D14A3E579F,2022-09-23 09:40:33 CEST,2022-09-23 09:40:33 CEST,2022-09-23 09:42:55 CEST,141.903,65,17/11/1991,2
60291,0F8CB03C11DE4DD3B56E3ADBA728A951,2022-09-23 14:36:01 CEST,2022-09-23 14:36:01 CEST,2022-09-23 14:44:02 CEST,480.928,63,10/09/1991,2
60310,042d662a42bbb048,2022-09-25 21:34:01 CEST,2022-09-25 21:34:01 CEST,2022-09-25 21:37:23 CEST,202.014,121,16/11/1988,2
60318,89E2E1E7D2914AD08948BECC03F2D9F0,2022-09-26 09:04:27 CEST,2022-09-26 09:04:27 CEST,2022-09-26 09:06:30 CEST,123.008,58,06/10/1987,1
60339,DEE1E1C90E9444F4A80358C78F9AA76C,2022-09-26 12:04:07 CEST,2022-09-26 12:04:07 CEST,2022-09-26 12:07:25 CEST,198.111,54,18/12/1988,2
60351,7cfcfbf9074423ba,2022-09-26 16:53:15 CEST,2022-09-26 16:53:15 CEST,2022-09-26 16:58:39 CEST,324.336,56,26/08/1995,2
60354,C4D57690925F4DF5A879AA326C52BF02,2022-09-26 18:32:46 CEST,2022-09-26 18:32:46 CEST,2022-09-26 18:36:24 CEST,218.129,70,13/01/1988,2
60355,8516553cfcfad98f,2022-09-26 19:50:35 CEST,2022-09-26 19:50:35 CEST,2022-09-26 20:05:33 CEST,897.692,112,21/12/1989,2
60356,9ec4655796ce9f27,2022-09-26 19:56:50 CEST,2022-09-26 19:56:50 CEST,2022-09-26 20:03:25 CEST,394.464,65,05/04/1987,2
60358,0d6ce62dc9ee1bd5,2022-09-26 20:34:15 CEST,2022-09-26 20:34:15 CEST,2022-09-26 20:42:23 CEST,487.462,64,14/04/1989,2
60369,a212182c16fdb3d2,2022-09-27 10:52:20 WEST,2022-09-27 10:52:20 WEST,2022-09-27 10:55:06 WEST,165.44,57,26/09/1983,2
60392,cd29e65c349c537f,2022-09-27 19:36:05 CEST,2022-09-27 19:36:05 CEST,2022-09-27 19:49:17 CEST,792.169,141,21/12/1989,2
60393,9486d08999776bc6,2022-09-27 20:26:07 CEST,2022-09-27 20:26:07 CEST,2022-09-27 20:37:30 CEST,682.715,96,06/09/1989,2
