FISNumber,TrackingNumber_IC,TrackingNumber_week1,Ethica_1,App_install_week1
F514355031449,2752537,2754742,27163,07/10/2022
F514359922521,2766157,2800069,30302,27/10/2022
F514359922749,2766158,2800070,56068,27/10/2022
F514357283939,2739853,2752095,59528,24/08/2022
F514357578803,2742316,2752105,59662,31/08/2022
F514357578674,2742317,2752106,59753,02/09/2022
F514357508284,2742364,2752103,59989,13/09/2022
F514357845211,2742441,2752109,60030,14/09/2022
F514358337879,2742387,2752116,60032,14/09/2022
F514357826996,2742445,2752111,60038,14/09/2022
F514357508924,2742365,2752104,60039,14/09/2022
F514357826258,2742444,2752110,60043,14/09/2022
F514358322139,2742466,2752115,60055,15/09/2022
F514358342179,2742451,2752112,60093,16/09/2022
F514357511645,2742432,2752107,60099,16/09/2022
F514336335312,2751858,2752124,60121,19/09/2022
F514336336074,2751853,2752123,60122,19/09/2022
F514339108145,2751865,2752125,60123,19/09/2022
F514334549669,2751893,2752129,60124,19/09/2022
F514335848422,2751844,2752121,60153,20/09/2022
F514363859284,2751784,2752120,60194,20/09/2022
F514334275101,2751891,2752128,60196,20/09/2022
F514357021587,2742340,2752099,60207,20/09/2022
F514358333488,2742391,2754731,60235,21/09/2022
F514358337635,2742388,2754730,60247,22/09/2022
F514363858158,2751782,2752119,60262,22/09/2022
F514356153729,2752087,2754760,60284,23/09/2022
F514355349115,2751973,2754741,60286,23/09/2022
F514355393439,2751960,2754740,60291,23/09/2022
F514358329924,2742459,2754727,60310,25/09/2022
F514357029152,2742331,2752098,60318,26/09/2022
F514357683885,2752268,2754722,60339,26/09/2022
F514336310437,2751849,2752122,60351,26/09/2022
F514357159247,2752201,2754712,60354,26/09/2022
F514363238694,2751774,2752117,60355,26/09/2022
F514358264102,2752302,2754723,60358,26/09/2022
F514335817001,2751843,2754794,60365,26/09/2022
F514339108494,2751868,2752126,60369,27/09/2022
F514363238856,2751773,2754787,60392,27/09/2022
F514334270793,2751890,2752127,60398,27/09/2022
F514357683358,2752267,2754721,60404,28/09/2022
F514356388127,2752069,2754756,60431,28/09/2022
F514356116477,2752728,2754759,60478,30/09/2022
F514355101619,2752556,2754743,60479,30/09/2022
F514355958811,2752013,2754747,60482,30/09/2022
F514358528666,2752447,2754735,60489,30/09/2022
F514356250361,2752699,2754753,60502,30/09/2022
F514357107422,2752186,2754711,60506,01/10/2022
F514357107682,2752185,2754710,60507,01/10/2022
F514357777634,2752255,2754716,60513,01/10/2022
F514358679497,2752469,2754737,60516,02/10/2022
F514357226169,2742406,2754708,60526,03/10/2022
F514358668675,2752479,2754739,60527,03/10/2022
F514335885529,2751841,2754792,60532,03/10/2022
F514366184323,2752963,2754777,60534,03/10/2022
F514362237306,2753050,2754782,60535,03/10/2022
F514360372119,2753081,2754786,60538,03/10/2022
F514356104886,2752727,2754758,60539,03/10/2022
F514358679504,2752470,2754738,60545,03/10/2022
F514357593245,2742361,2752101,60550,04/10/2022
F514364370182,2753001,2754780,60561,04/10/2022
F514354265984,2752742,2754762,60565,04/10/2022
F514368412593,2752928,2754772,60566,04/10/2022
F514334279769,2751885,2754798,60567,04/10/2022
F514357593967,2742362,2752102,60569,04/10/2022
F514334276114,2751886,2754799,60570,08/10/2022
F514351519249,2752874,2754767,60576,04/10/2022
F514362672309,2753071,2754785,60577,04/10/2022
F514358249004,2752305,2754724,60582,04/10/2022
F514332260883,2751904,2754801,60605,04/10/2022
F514334549847,2751892,2754800,60637,05/10/2022
F514356391415,2752060,2754755,60638,05/10/2022
F514337221955,2751789,2754789,60639,05/10/2022
F514339762497,2751877,2754797,60643,05/10/2022
F514366194895,2752959,2754776,60645,05/10/2022
F514351672696,2752876,2754768,60646,05/10/2022
